"sim_id","program_id","undisc_inc","disc_inc"
14530,1,11930.7189780965,10484.1734310359
14530,2,9575.18657864463,8464.00292313518
14530,3,9000.23245896259,7965.07411664702
14566,1,11895.99476065,10444.3948652719
14566,2,9202.32309897003,8128.30728746419
14566,3,9185.62047364355,8110.9742592474
14634,1,13028.4098939074,11446.1409817165
14634,2,10097.5904435928,8927.27823780058
14634,3,9876.37444957676,8732.2143701604
14671,1,13526.0843415971,11877.1020433766
14671,2,10857.7502497312,9588.93066452872
14671,3,10155.8757051709,8981.72579658545
14677,1,12635.2051702743,11102.7491585694
14677,2,10058.7798264705,8886.13345412575
14677,3,9887.36963664576,8735.10684162581
147,1,13003.1255868978,11432.3667864237
147,2,9773.91765924814,8661.32330082206
147,3,9516.06433681131,8436.69772853992
14701,1,12145.6015206076,10674.377283184
14701,2,9742.41598941082,8609.23721247068
14701,3,9315.33151413929,8239.8807986459
14831,1,12408.7608793631,10904.6456870819
14831,2,9564.886373648,8459.81840708286
14831,3,9450.57008418703,8359.51059775687
14918,1,12929.8208172216,11355.1863329029
14918,2,10392.7040704634,9180.33082013434
14918,3,10141.2749790449,8959.18112531287
15269,1,13186.4436685216,11571.8171691452
15269,2,10538.6582346655,9300.00012651548
15269,3,10284.4851412669,9078.16657459655
15433,1,13427.3780563233,11799.2338620802
15433,2,10391.9273851058,9194.64326444661
15433,3,10025.7804349868,8876.73929377711
