"G_compartment","sex_name","year","expected_total_pop","expected_disease_pop","expected_non_disease_pop","expected_non_disease_mort_total","expected_non_disease_mort_rate","TB_compartment","HIV_compartment","hiv_adj","tb_adj","mort_rate"
2,"female",1995,11855984.8222246,824972.695067343,11031012.1271572,34880.6756208125,0.00316205577681669,1,3,20,1,0.0632411155363339
2,"female",1995,11855984.8222246,824972.695067343,11031012.1271572,34880.6756208125,0.00316205577681669,1,4,2.4,1,0.00758893386436006
2,"female",1995,11855984.8222246,824972.695067343,11031012.1271572,34880.6756208125,0.00316205577681669,2,1,1,1,0.00316205577681669
2,"female",1995,11855984.8222246,824972.695067343,11031012.1271572,34880.6756208125,0.00316205577681669,2,2,10,1,0.0316205577681669
2,"female",1995,11855984.8222246,824972.695067343,11031012.1271572,34880.6756208125,0.00316205577681669,2,3,20,1,0.0632411155363339
2,"female",1995,11855984.8222246,824972.695067343,11031012.1271572,34880.6756208125,0.00316205577681669,2,4,2.4,1,0.00758893386436006
2,"female",1995,11855984.8222246,824972.695067343,11031012.1271572,34880.6756208125,0.00316205577681669,3,1,1,1,0.00316205577681669
2,"female",1995,11855984.8222246,824972.695067343,11031012.1271572,34880.6756208125,0.00316205577681669,3,2,10,1,0.0316205577681669
2,"female",1995,11855984.8222246,824972.695067343,11031012.1271572,34880.6756208125,0.00316205577681669,3,3,20,1,0.0632411155363339
2,"female",1995,11855984.8222246,824972.695067343,11031012.1271572,34880.6756208125,0.00316205577681669,3,4,2.4,1,0.00758893386436006
2,"female",1995,11855984.8222246,824972.695067343,11031012.1271572,34880.6756208125,0.00316205577681669,4,1,1,1,0.00316205577681669
2,"female",1995,11855984.8222246,824972.695067343,11031012.1271572,34880.6756208125,0.00316205577681669,4,2,10,1,0.0316205577681669
2,"female",1995,11855984.8222246,824972.695067343,11031012.1271572,34880.6756208125,0.00316205577681669,4,3,20,1,0.0632411155363339
2,"female",1995,11855984.8222246,824972.695067343,11031012.1271572,34880.6756208125,0.00316205577681669,4,4,2.4,1,0.00758893386436006
2,"female",1995,11855984.8222246,824972.695067343,11031012.1271572,34880.6756208125,0.00316205577681669,5,1,1,1,0.00316205577681669
2,"female",1995,11855984.8222246,824972.695067343,11031012.1271572,34880.6756208125,0.00316205577681669,5,2,10,1,0.0316205577681669
2,"female",1995,11855984.8222246,824972.695067343,11031012.1271572,34880.6756208125,0.00316205577681669,5,3,20,1,0.0632411155363339
2,"female",1995,11855984.8222246,824972.695067343,11031012.1271572,34880.6756208125,0.00316205577681669,5,4,2.4,1,0.00758893386436006
2,"female",1995,11855984.8222246,824972.695067343,11031012.1271572,34880.6756208125,0.00316205577681669,6,1,1,20,0.0632411155363339
2,"female",1995,11855984.8222246,824972.695067343,11031012.1271572,34880.6756208125,0.00316205577681669,6,2,10,5,0.158102788840835
2,"female",1995,11855984.8222246,824972.695067343,11031012.1271572,34880.6756208125,0.00316205577681669,6,3,20,5,0.316205577681669
